experiment_id,generation,population_size,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,best_individual_id,tournament_of_champions
0,0,20,0.5860386460923402,0.3770666918605972,0.8037055403333202,0.006889763779527559,0.9311639549436797,"{'generation': 0, 'fitness': 0.9311639549436797, 'individual': [3, 1, 8, 8, 3, 1029, 8, 8], 'champion': False}",False
0,1,20,0.6670644222785788,0.3380756499110336,0.8074204588887988,0.003902439024390244,0.9442903957650618,"{'generation': 1, 'fitness': 0.9442903957650618, 'individual': [3, 75, 8, 8, 3, 627, 8, 8], 'champion': False}",False
0,2,16,0.7967059788748933,0.26915010354939317,0.9005712851568777,0.006711409395973154,0.9491778774289985,"{'generation': 2, 'fitness': 0.9491778774289985, 'individual': [3, 59, 8, 8, 3, 1313, 8, 8], 'champion': False}",False
0,3,15,0.807622783959622,0.26810641984476824,0.8996701438364942,0.001937046004842615,0.9491778774289985,"{'generation': 3, 'fitness': 0.9484066767830045, 'individual': [3, 93, 8, 8, 3, 695, 8, 8], 'champion': False}",False
0,4,10,0.858921353167772,0.1968328938124717,0.9181039616220472,0.01833976833976834,0.9484066767830045,"{'generation': 4, 'fitness': 0.9387653086728318, 'individual': [3, 81, 8, 8, 3, 653, 8, 8], 'champion': False}",False
0,5,15,0.9073269971334208,0.03800388717128838,0.9179844144505851,0.7929025423728814,0.9756632697248766,"{'generation': 5, 'fitness': 0.9541104294478527, 'individual': [3, 96, 8, 8, 3, 658, 8, 8], 'champion': False}",True
0,6,17,0.8672361862409492,0.2021052235035373,0.9238853393993706,0.004892367906066536,0.9756632697248766,"{'generation': 6, 'fitness': 0.9481481481481482, 'individual': [3, 95, 8, 8, 3, 694, 8, 8], 'champion': False}",False
0,7,14,0.842348684671016,0.20191851404709416,0.9061365790161648,0.003857280617164899,0.9756632697248766,"{'generation': 7, 'fitness': 0.9548854041013269, 'individual': [3, 75, 8, 8, 3, 906, 8, 8], 'champion': False}",False
0,8,14,0.8967509947293184,0.05582484025490783,0.9030720338983051,0.7715617715617715,0.9756632697248766,"{'generation': 8, 'fitness': 0.9469160768452983, 'individual': [3, 94, 8, 8, 3, 653, 8, 8], 'champion': False}",False
0,9,15,0.9145235546263522,0.042052421682986244,0.923246247642018,0.8056453984122317,0.9756632697248766,"{'generation': 9, 'fitness': 0.953183056725291, 'individual': [3, 94, 8, 8, 3, 653, 8, 8], 'champion': False}",False
0,10,15,0.9151307142503693,0.03940303205648383,0.92553358249621,0.8203828828828829,0.9760278976437011,"{'generation': 10, 'fitness': 0.9513836948391923, 'individual': [3, 75, 8, 8, 3, 1223, 8, 8], 'champion': False}",True
0,11,14,0.926895162184832,0.02417077437326279,0.9259993098225225,0.8781558726673985,0.9760278976437011,"{'generation': 11, 'fitness': 0.9509263895843766, 'individual': [3, 30, 8, 8, 3, 627, 8, 8], 'champion': False}",False
0,12,15,0.860321006240963,0.20184899669329864,0.9206535467238224,0.009474182851729039,0.9536689206110693,"{'generation': 12, 'fitness': 0.9536689206110693, 'individual': [3, 30, 8, 8, 3, 1023, 8, 8], 'champion': False}",False
0,13,10,0.9216889280192424,0.03796277453235447,0.9330160636424238,0.8009441384736428,0.9536689206110693,"{'generation': 13, 'fitness': 0.9430569430569431, 'individual': [3, 75, 8, 8, 3, 1223, 8, 8], 'champion': False}",False
0,14,15,0.8899110608219546,0.06635020922477297,0.908132548772473,0.7164738980931541,0.9542943244600703,"{'generation': 14, 'fitness': 0.9542943244600703, 'individual': [3, 75, 8, 8, 3, 1299, 8, 8], 'champion': False}",False
0,15,18,0.9025398771166424,0.04013737293780188,0.9186362830200989,0.7969107551487414,0.9420289855072463,"{'generation': 15, 'fitness': 0.9420289855072463, 'individual': [3, 28, 8, 8, 3, 1017, 8, 8], 'champion': False}",True
1,0,20,0.7510876264620777,0.27834682971531644,0.8364987639960215,0.05673076923076923,0.9452352231604343,"{'generation': 0, 'fitness': 0.9452352231604343, 'individual': [3, 1264, 8, 8, 3, 378, 8, 8], 'champion': False}",False
1,1,14,0.8873655115914728,0.04417582306523699,0.9044537857488885,0.8048498845265589,0.9452352231604343,"{'generation': 1, 'fitness': 0.944779358572462, 'individual': [3, 958, 8, 8, 3, 1337, 8, 8], 'champion': False}",False
1,2,12,0.8793943439355265,0.1259864117881843,0.9104017435590891,0.3480314960629921,0.9511728099569172,"{'generation': 2, 'fitness': 0.9511728099569172, 'individual': [3, 1279, 8, 8, 3, 425, 8, 8], 'champion': False}",False
1,3,14,0.8629477967962285,0.19612393595292396,0.9163271078125123,0.026483570377636097,0.9496707431796801,"{'generation': 3, 'fitness': 0.9496707431796801, 'individual': [3, 596, 8, 8, 3, 93, 8, 8], 'champion': False}",False
1,4,17,0.8287147192740079,0.2315993523488566,0.9248797476832402,0.04297994269340974,0.9497672139181573,"{'generation': 4, 'fitness': 0.9497672139181573, 'individual': [3, 1253, 8, 8, 3, 648, 8, 8], 'champion': False}",False
1,5,18,0.9022748419422875,0.047557911485134025,0.9251175853749181,0.7933547070824832,0.9497827136648962,"{'generation': 5, 'fitness': 0.9497827136648962, 'individual': [3, 1264, 8, 8, 3, 378, 8, 8], 'champion': False}",True
1,6,17,0.892560716379052,0.06437080624419118,0.9182899514025342,0.7181082762912259,0.953117674636662,"{'generation': 6, 'fitness': 0.953117674636662, 'individual': [3, 305, 8, 8, 3, 366, 8, 8], 'champion': False}",False
1,7,20,0.8874168271077881,0.058735732696248745,0.9045946781338605,0.7100957085520222,0.947342759629449,"{'generation': 7, 'fitness': 0.947342759629449, 'individual': [3, 1309, 8, 8, 3, 378, 8, 8], 'champion': False}",False
1,8,15,0.806972926589218,0.23941782868321532,0.8935670619060436,0.08602150537634409,0.9466477809254014,"{'generation': 8, 'fitness': 0.9457700650759219, 'individual': [3, 1081, 8, 8, 3, 360, 8, 8], 'champion': False}",False
1,9,16,0.8850319687122641,0.07317858581075762,0.9123895903014232,0.6993670886075949,0.9503853564547207,"{'generation': 9, 'fitness': 0.9503853564547207, 'individual': [3, 1092, 8, 8, 3, 364, 8, 8], 'champion': False}",False
1,10,12,0.8744853155271292,0.1536763814471029,0.9207950278756194,0.24113475177304963,0.9766462922384961,"{'generation': 10, 'fitness': 0.9503511746185517, 'individual': [3, 458, 8, 8, 3, 63, 8, 8], 'champion': False}",True
1,11,18,0.9039401062497501,0.04769473237982074,0.9260283157253328,0.7828434313137372,0.9544159544159544,"{'generation': 11, 'fitness': 0.9544159544159544, 'individual': [3, 1263, 8, 8, 3, 613, 8, 8], 'champion': False}",False
1,12,18,0.9107925963728508,0.03619930432341643,0.9212631679493477,0.8114517061885483,0.9544159544159544,"{'generation': 12, 'fitness': 0.9489744872436218, 'individual': [3, 187, 8, 8, 3, 620, 8, 8], 'champion': False}",False
1,13,20,0.8341783143606005,0.1935223579939785,0.8850267716400978,0.029693486590038315,0.9390120967741935,"{'generation': 13, 'fitness': 0.9390120967741935, 'individual': [3, 1450, 8, 8, 3, 614, 8, 8], 'champion': False}",False
1,14,12,0.8976699477205636,0.060037058801181674,0.9266441116163502,0.7069182389937106,0.9544235924932976,"{'generation': 14, 'fitness': 0.9544235924932976, 'individual': [3, 153, 8, 8, 3, 579, 8, 8], 'champion': False}",False
1,15,18,0.8776352674421155,0.07295488537908307,0.8997086852496546,0.6609029779058597,0.9477756286266924,"{'generation': 15, 'fitness': 0.9477756286266924, 'individual': [3, 1113, 8, 8, 3, 217, 8, 8], 'champion': False}",True
