name,F1
"[x, x, x]",0.0
"[1, 1, 1]",0.4567993989481593
"[50, 50, 50]",0.5527043031977892
"[400, 400, 400]",0.5825649622799665
"[1, 1, 1500]",0.28835712849386685
"[100, 50, 25]",0.533131389625142
"[200, 100, 50]",0.5864223240316535
"[50, 25, 13]",0.6045296167247387
"[150, 75, 38]",0.5725971370143149
"[3, 3, 3]",0.5780498469610844
"[10, 10, 10]",0.6417112299465241
"[100, 100, 100]",0.5963855421686747
"[25, 10, 5]",0.5683778234086242
"[80, 40, 20]",0.5782426778242677
"[150, 50, 10]",0.6189417518897288
"[200, 80, 30]",0.5671641791044776
"[300, 100, 25]",0.6215102974828375
"[500, 200, 50]",0.5686354378818738
"[50, 20, 5]",0.5946872322193659
"[120, 60, 15]",0.6058489742470536
"[600, 300, 100]",0.5755693581780539
