experiment_id,generation,individual_id,individual,TrainLoss,TestLoss,Precision,Recall,F1,Accuracy,fitness,champion
0,0,19,"[3,1,8,8,3,1029,8,8]",0,0,0,0,0,0,0.9311639549436797,False
0,1,19,"[3,75,8,8,3,627,8,8]",0,0,0,0,0,0,0.9442903957650618,False
0,2,15,"[3,59,8,8,3,1313,8,8]",0,0,0,0,0,0,0.9491778774289985,False
0,3,14,"[3,93,8,8,3,695,8,8]",0,0,0,0,0,0,0.9484066767830045,False
0,4,9,"[3,81,8,8,3,653,8,8]",0,0,0,0,0,0,0.9387653086728318,False
0,5,0,"[3,93,8,8,3,695,8,8]",0,0,0,0,0,0,0.9683567309487087,True
0,5,1,"[3,93,8,8,3,695,8,8]",0,0,0,0,0,0,0.9746411810047908,True
0,5,2,"[3,81,8,8,3,653,8,8]",0,0,0,0,0,0,0.9738033887717654,True
0,5,3,"[3,93,8,8,3,1186,8,8]",0,0,0,0,0,0,0.9773704699680604,True
0,5,4,"[3,75,8,8,3,627,8,8]",0,0,0,0,0,0,0.9716121072061574,True
0,5,5,"[3,75,8,8,3,627,8,8]",0,0,0,0,0,0,0.9756632697248766,True
0,5,20,"[3,96,8,8,3,658,8,8]",0,0,0,0,0,0,0.9541104294478527,False
0,6,16,"[3,95,8,8,3,694,8,8]",0,0,0,0,0,0,0.9481481481481482,False
0,7,13,"[3,75,8,8,3,906,8,8]",0,0,0,0,0,0,0.9548854041013269,False
0,8,13,"[3,94,8,8,3,653,8,8]",0,0,0,0,0,0,0.9469160768452983,False
0,9,14,"[3,94,8,8,3,653,8,8]",0,0,0,0,0,0,0.953183056725291,False
0,10,0,"[3,75,8,8,3,627,8,8]",0,0,0,0,0,0,0.9753762770022616,True
0,10,1,"[3,75,8,8,3,627,8,8]",0,0,0,0,0,0,0.9760278976437011,True
0,10,2,"[3,94,8,8,3,653,8,8]",0,0,0,0,0,0,0.9573281646041449,True
0,10,3,"[3,75,8,8,3,1040,8,8]",0,0,0,0,0,0,0.9744264724521532,True
0,10,4,"[3,75,8,8,3,1029,8,8]",0,0,0,0,0,0,0.9690081629846465,True
0,10,5,"[3,81,8,8,3,966,8,8]",0,0,0,0,0,0,0.9702033460016456,True
0,10,20,"[3,75,8,8,3,1223,8,8]",0,0,0,0,0,0,0.9513836948391923,False
0,11,13,"[3,30,8,8,3,627,8,8]",0,0,0,0,0,0,0.9509263895843766,False
0,12,14,"[3,30,8,8,3,1023,8,8]",0,0,0,0,0,0,0.9536689206110693,False
0,13,9,"[3,75,8,8,3,1223,8,8]",0,0,0,0,0,0,0.9430569430569431,False
0,14,14,"[3,75,8,8,3,1299,8,8]",0,0,0,0,0,0,0.9542943244600703,False
0,15,0,"[3,75,8,8,3,1299,8,8]",0,0,0,0,0,0,0.9684020167670792,True
0,15,1,"[3,30,8,8,3,1023,8,8]",0,0,0,0,0,0,0.9821975258879644,True
0,15,2,"[3,30,8,8,3,1023,8,8]",0,0,0,0,0,0,0.9659786196364353,True
0,15,3,"[3,75,8,8,3,1223,8,8]",0,0,0,0,0,0,0.9792167041140466,True
0,15,4,"[3,75,8,8,3,1223,8,8]",0,0,0,0,0,0,0.9571404404374521,True
0,15,5,"[3,30,8,8,3,1025,8,8]",0,0,0,0,0,0,0.9747309312119794,True
0,15,23,"[3,28,8,8,3,1017,8,8]",0,0,0,0,0,0,0.9420289855072463,False
1,0,19,"[3,1264,8,8,3,378,8,8]",0,0,0,0,0,0,0.9452352231604343,False
1,1,13,"[3,958,8,8,3,1337,8,8]",0,0,0,0,0,0,0.944779358572462,False
1,2,11,"[3,1279,8,8,3,425,8,8]",0,0,0,0,0,0,0.9511728099569172,False
1,3,13,"[3,596,8,8,3,93,8,8]",0,0,0,0,0,0,0.9496707431796801,False
1,4,16,"[3,1253,8,8,3,648,8,8]",0,0,0,0,0,0,0.9497672139181573,False
1,5,0,"[3,1253,8,8,3,648,8,8]",0,0,0,0,0,0,0.9797956780980593,True
1,5,1,"[3,1134,8,8,3,844,8,8]",0,0,0,0,0,0,0.9699061132424669,True
1,5,2,"[3,1264,8,8,3,844,8,8]",0,0,0,0,0,0,0.9371101401235498,True
1,5,3,"[3,1264,8,8,3,844,8,8]",0,0,0,0,0,0,0.9573048764866436,True
1,5,4,"[3,1264,8,8,3,378,8,8]",0,0,0,0,0,0,0.973572826579508,True
1,5,5,"[3,1418,8,8,3,844,8,8]",0,0,0,0,0,0,0.9563644894527966,True
1,5,23,"[3,1264,8,8,3,378,8,8]",0,0,0,0,0,0,0.9497827136648962,False
1,6,16,"[3,305,8,8,3,366,8,8]",0,0,0,0,0,0,0.953117674636662,False
1,7,19,"[3,1309,8,8,3,378,8,8]",0,0,0,0,0,0,0.947342759629449,False
1,8,14,"[3,1081,8,8,3,360,8,8]",0,0,0,0,0,0,0.9457700650759219,False
1,9,15,"[3,1092,8,8,3,364,8,8]",0,0,0,0,0,0,0.9503853564547207,False
1,10,0,"[3,1092,8,8,3,364,8,8]",0,0,0,0,0,0,0.9685191257884685,True
1,10,1,"[3,1093,8,8,3,66,8,8]",0,0,0,0,0,0,0.9536897181499581,True
1,10,2,"[3,1093,8,8,3,64,8,8]",0,0,0,0,0,0,0.9766462922384961,True
1,10,3,"[3,1093,8,8,3,64,8,8]",0,0,0,0,0,0,0.968495066428405,True
1,10,4,"[3,1093,8,8,3,64,8,8]",0,0,0,0,0,0,0.9672237061608633,True
1,10,5,"[3,1263,8,8,3,613,8,8]",0,0,0,0,0,0,0.9517987675203022,True
1,10,17,"[3,458,8,8,3,63,8,8]",0,0,0,0,0,0,0.9503511746185517,False
1,11,17,"[3,1263,8,8,3,613,8,8]",0,0,0,0,0,0,0.9544159544159544,False
1,12,17,"[3,187,8,8,3,620,8,8]",0,0,0,0,0,0,0.9489744872436218,False
1,13,19,"[3,1450,8,8,3,614,8,8]",0,0,0,0,0,0,0.9390120967741935,False
1,14,11,"[3,153,8,8,3,579,8,8]",0,0,0,0,0,0,0.9544235924932976,False
1,15,0,"[3,153,8,8,3,579,8,8]",0,0,0,0,0,0,0.9787377203606513,True
1,15,1,"[3,1264,8,8,3,191,8,8]",0,0,0,0,0,0,0.9699985450312818,True
1,15,2,"[3,1450,8,8,3,614,8,8]",0,0,0,0,0,0,0.9597164841726133,True
1,15,3,"[3,1450,8,8,3,614,8,8]",0,0,0,0,0,0,0.9750134336378291,True
1,15,4,"[3,1452,8,8,3,609,8,8]",0,0,0,0,0,0,0.9540992043070345,True
1,15,5,"[3,1276,8,8,3,201,8,8]",0,0,0,0,0,0,0.9491515290413225,True
1,15,23,"[3,1113,8,8,3,217,8,8]",0,0,0,0,0,0,0.9477756286266924,False
2,0,19,"[3, 636, 8, 8, 3, 553, 8, 8]",0.1994615933895111,0.12119969103733698,0.9716742539200809,0.9209012464046021,0.9456066945606695,0.9263333333333333,0.9456066945606695,False
2,1,14,"[3, 1196, 8, 8, 3, 1418, 8, 8]",0.23137943331400554,0.1537585825920105,0.9557739557739557,0.9328537170263789,0.9441747572815534,0.9233333333333333,0.9441747572815534,False
2,2,17,"[3, 1192, 8, 8, 3, 1409, 8, 8]",0.22231251049041748,0.1461392822265625,0.9741116751269036,0.9159904534606206,0.9441574415744157,0.9243333333333333,0.9441574415744157,False
2,3,16,"[3, 1193, 8, 8, 3, 525, 8, 8]",0.21615936557451884,0.15270896108945212,0.9575212393803099,0.9278450363196126,0.9424495818986719,0.922,0.9424495818986719,False
2,4,14,"[3, 1383, 8, 8, 3, 13, 8, 8]",0.201060161113739,0.1324893716176351,0.9729187562688064,0.9216152019002375,0.9465723347157844,0.927,0.9465723347157844,False
2,5,0,"[3, 1383, 8, 8, 3, 13, 8, 8]",0.1399527620670988,0.07197399575707138,0.9870050239329088,0.9533097717069443,0.9698648241547866,0.9593876054272094,0.9698648241547866,True
2,5,1,"[3, 53, 8, 8, 3, 523, 8, 8]",0.12110182891206145,0.05959598774667853,0.9915837644249901,0.9520871143375681,0.9714341406364212,0.9616140185447116,0.9714341406364212,True
2,5,2,"[3, 1442, 8, 8, 3, 57, 8, 8]",0.14143275751664863,0.07622851729801312,0.9820307254847754,0.9500811920909351,0.9657917989649178,0.9538608622767039,0.9657917989649178,True
2,5,3,"[3, 1383, 8, 8, 3, 13, 8, 8]",0.13979514934556805,0.07451640685511077,0.9861738317385164,0.9470245486674945,0.9662027833001988,0.9545811724029546,0.9662027833001988,True
2,5,19,"[3, 1234, 8, 8, 3, 544, 8, 8]",0.19084057943026225,0.13814704449971518,0.9575609756097561,0.9383365200764818,0.9478512795750845,0.928,0.9478512795750845,False
2,6,12,"[3, 34, 8, 8, 3, 639, 8, 8]",0.17120205239454905,0.11664770158131918,0.9683011391778108,0.9417148362235067,0.9548229548229549,0.9383333333333334,0.9548229548229549,False
2,7,14,"[3, 35, 8, 8, 3, 1521, 8, 8]",0.1739590617020925,0.10628379583358764,0.9820696721311475,0.9310344827586207,0.955871353777113,0.941,0.955871353777113,False
2,8,14,"[3, 33, 8, 8, 3, 1439, 8, 8]",0.18371967128912609,0.11585430121421814,0.9737903225806451,0.9342359767891683,0.9536031589338598,0.9373333333333334,0.9536031589338598,False
2,9,14,"[3, 34, 8, 8, 3, 643, 8, 8]",0.17753746334711712,0.11150251857439678,0.9762266059686393,0.9310178485287024,0.9530864197530864,0.9366666666666666,0.9530864197530864,False
2,10,0,"[3, 53, 8, 8, 3, 523, 8, 8]",0.12328429972989387,0.05894403637623961,0.9928051818634779,0.9516477218454484,0.9717908700741319,0.9621247839069621,0.9717908700741319,True
2,10,1,"[3, 34, 8, 8, 3, 639, 8, 8]",0.12098170986496669,0.060854852292648795,0.9872056115051531,0.9625561180628522,0.9747250515075012,0.9657787207292158,0.9747250515075012,True
2,10,2,"[3, 34, 8, 8, 3, 639, 8, 8]",0.12211156812613254,0.058650509435992905,0.9897358967273302,0.9579138408635017,0.9735649033560826,0.9643381004767143,0.9735649033560826,True
2,10,3,"[3, 34, 8, 8, 3, 643, 8, 8]",0.12000525708962675,0.05941095814594307,0.9916463973842657,0.9502149202407106,0.9704886686243329,0.9603829430562104,0.9704886686243329,True
2,10,14,"[3, 32, 8, 8, 3, 393, 8, 8]",0.1942041002114614,0.12908912448088328,0.9801980198019802,0.9144385026737968,0.9461770623742455,0.9286666666666666,0.9461770623742455,False
2,11,17,"[3, 34, 8, 8, 3, 639, 8, 8]",0.2184469097852707,0.13398829340934754,0.9794871794871794,0.9280855199222546,0.9530938123752495,0.9373333333333334,0.9530938123752495,False
2,12,14,"[3, 34, 8, 8, 3, 399, 8, 8]",0.1695526964267095,0.1121516150633494,0.9839195979899498,0.9244570349386213,0.9532619279454723,0.936,0.9532619279454723,False
