experiment_id,generation,individual_id,model_performance
0,0,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 1.04, 'precision': 0.32, 'recall': 0.98, 'accuracy': 0.57, 'learning_rate': 0.0, 'branches': [[4, 5], [3, 3], [2, 2]], 'best_f1': 0.48, 'best_auc': 0.92, 'time': 2.94}"
0,1,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 1.04, 'precision': 0.32, 'recall': 0.98, 'accuracy': 0.57, 'learning_rate': 0.0, 'branches': [[4, 5], [3, 3], [2, 2]], 'best_f1': 0.48, 'best_auc': 0.92, 'time': 2.94}"
0,2,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 1.04, 'precision': 0.32, 'recall': 0.98, 'accuracy': 0.57, 'learning_rate': 0.0, 'branches': [[4, 5], [3, 3], [2, 2]], 'best_f1': 0.48, 'best_auc': 0.92, 'time': 2.94}"
1,0,0,"{'epoch': 0, 'train_loss': 1.0, 'test_loss': 0.88, 'precision': 0.12, 'recall': 0.78, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[3, 2], [5, 5]], 'best_f1': 0.21, 'best_auc': 0.81, 'time': 1.14}"
1,1,0,"{'epoch': 0, 'train_loss': 1.0, 'test_loss': 0.88, 'precision': 0.12, 'recall': 0.78, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[3, 2], [5, 5]], 'best_f1': 0.21, 'best_auc': 0.81, 'time': 1.14}"
1,2,0,"{'epoch': 0, 'train_loss': 1.0, 'test_loss': 0.88, 'precision': 0.12, 'recall': 0.78, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[3, 2], [5, 5]], 'best_f1': 0.21, 'best_auc': 0.81, 'time': 1.14}"
2,0,0,"{'epoch': 0, 'train_loss': 0.57, 'test_loss': 0.45, 'precision': 0.92, 'recall': 0.78, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], 'best_f1': 0.84, 'best_auc': 0.94, 'time': 2.28}"
2,1,0,"{'epoch': 0, 'train_loss': 0.57, 'test_loss': 0.45, 'precision': 0.92, 'recall': 0.78, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], 'best_f1': 0.84, 'best_auc': 0.94, 'time': 2.28}"
2,2,0,"{'epoch': 0, 'train_loss': 0.57, 'test_loss': 0.45, 'precision': 0.92, 'recall': 0.78, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], 'best_f1': 0.84, 'best_auc': 0.94, 'time': 2.28}"
3,0,0,"{'epoch': 0, 'train_loss': 0.34, 'test_loss': 0.22, 'precision': 0.57, 'recall': 0.96, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[5, 3, 4], [4, 4, 2, 3]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 1.53}"
3,1,0,"{'epoch': 0, 'train_loss': 0.34, 'test_loss': 0.22, 'precision': 0.57, 'recall': 0.96, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[5, 3, 4], [4, 4, 2, 3]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 1.53}"
3,2,0,"{'epoch': 0, 'train_loss': 0.34, 'test_loss': 0.22, 'precision': 0.57, 'recall': 0.96, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[5, 3, 4], [4, 4, 2, 3]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 1.53}"
4,0,0,"{'epoch': 0, 'train_loss': 0.88, 'test_loss': 0.8, 'precision': 0.36, 'recall': 0.95, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[3, 4, 2]], 'best_f1': 0.52, 'best_auc': 0.85, 'time': 1.22}"
4,1,0,"{'epoch': 0, 'train_loss': 0.88, 'test_loss': 0.8, 'precision': 0.36, 'recall': 0.95, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[3, 4, 2]], 'best_f1': 0.52, 'best_auc': 0.85, 'time': 1.22}"
4,2,0,"{'epoch': 0, 'train_loss': 0.88, 'test_loss': 0.8, 'precision': 0.36, 'recall': 0.95, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[3, 4, 2]], 'best_f1': 0.52, 'best_auc': 0.85, 'time': 1.22}"
5,0,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 0.48, 'precision': 0.81, 'recall': 0.76, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[3, 5, 3], [2, 3, 2, 2]], 'best_f1': 0.78, 'best_auc': 0.96, 'time': 1.66}"
5,1,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 0.48, 'precision': 0.81, 'recall': 0.76, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[3, 5, 3], [2, 3, 2, 2]], 'best_f1': 0.78, 'best_auc': 0.96, 'time': 1.66}"
5,2,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 0.48, 'precision': 0.81, 'recall': 0.76, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[3, 5, 3], [2, 3, 2, 2]], 'best_f1': 0.78, 'best_auc': 0.96, 'time': 1.66}"
6,0,0,"{'epoch': 0, 'train_loss': 1.08, 'test_loss': 1.12, 'precision': 0.11, 'recall': 0.79, 'accuracy': 0.62, 'learning_rate': 0.0, 'branches': [[2, 5, 4, 4]], 'best_f1': 0.2, 'best_auc': 0.79, 'time': 1.31}"
6,1,0,"{'epoch': 0, 'train_loss': 1.08, 'test_loss': 1.12, 'precision': 0.11, 'recall': 0.79, 'accuracy': 0.62, 'learning_rate': 0.0, 'branches': [[2, 5, 4, 4]], 'best_f1': 0.2, 'best_auc': 0.79, 'time': 1.31}"
6,2,0,"{'epoch': 0, 'train_loss': 1.08, 'test_loss': 1.12, 'precision': 0.11, 'recall': 0.79, 'accuracy': 0.62, 'learning_rate': 0.0, 'branches': [[2, 5, 4, 4]], 'best_f1': 0.2, 'best_auc': 0.79, 'time': 1.31}"
7,0,0,"{'epoch': 0, 'train_loss': 0.59, 'test_loss': 0.52, 'precision': 0.62, 'recall': 0.77, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[3, 3, 5, 4], [5, 3, 5, 4]], 'best_f1': 0.69, 'best_auc': 0.85, 'time': 1.89}"
7,1,0,"{'epoch': 0, 'train_loss': 0.59, 'test_loss': 0.52, 'precision': 0.62, 'recall': 0.77, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[3, 3, 5, 4], [5, 3, 5, 4]], 'best_f1': 0.69, 'best_auc': 0.85, 'time': 1.89}"
7,2,0,"{'epoch': 0, 'train_loss': 0.59, 'test_loss': 0.52, 'precision': 0.62, 'recall': 0.77, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[3, 3, 5, 4], [5, 3, 5, 4]], 'best_f1': 0.69, 'best_auc': 0.85, 'time': 1.89}"
8,0,0,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.66, 'precision': 0.89, 'recall': 0.59, 'accuracy': 0.94, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [4, 4, 4, 2]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 11.05}"
8,1,0,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.66, 'precision': 0.89, 'recall': 0.59, 'accuracy': 0.94, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [4, 4, 4, 2]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 11.05}"
8,2,0,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.66, 'precision': 0.89, 'recall': 0.59, 'accuracy': 0.94, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [4, 4, 4, 2]], 'best_f1': 0.71, 'best_auc': 0.98, 'time': 11.05}"
9,0,0,"{'epoch': 0, 'train_loss': 0.87, 'test_loss': 1.01, 'precision': 0.34, 'recall': 0.73, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[5, 3], [4, 5, 2]], 'best_f1': 0.46, 'best_auc': 0.79, 'time': 1.45}"
9,1,0,"{'epoch': 0, 'train_loss': 0.87, 'test_loss': 1.01, 'precision': 0.34, 'recall': 0.73, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[5, 3], [4, 5, 2]], 'best_f1': 0.46, 'best_auc': 0.79, 'time': 1.45}"
9,2,0,"{'epoch': 0, 'train_loss': 0.87, 'test_loss': 1.01, 'precision': 0.34, 'recall': 0.73, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[5, 3], [4, 5, 2]], 'best_f1': 0.46, 'best_auc': 0.79, 'time': 1.45}"
10,0,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 1.14, 'precision': 0.93, 'recall': 0.66, 'accuracy': 0.9, 'learning_rate': 0.0, 'branches': [[2, 4], [5, 4], [5, 5]], 'best_f1': 0.77, 'best_auc': 0.91, 'time': 1.32}"
10,1,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 1.14, 'precision': 0.93, 'recall': 0.66, 'accuracy': 0.9, 'learning_rate': 0.0, 'branches': [[2, 4], [5, 4], [5, 5]], 'best_f1': 0.77, 'best_auc': 0.91, 'time': 1.32}"
10,2,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 1.14, 'precision': 0.93, 'recall': 0.66, 'accuracy': 0.9, 'learning_rate': 0.0, 'branches': [[2, 4], [5, 4], [5, 5]], 'best_f1': 0.77, 'best_auc': 0.91, 'time': 1.32}"
11,0,0,"{'epoch': 0, 'train_loss': 1.18, 'test_loss': 1.09, 'precision': 0.2, 'recall': 0.7, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[2, 5, 4], [3, 3]], 'best_f1': 0.32, 'best_auc': 0.83, 'time': 1.28}"
11,1,0,"{'epoch': 0, 'train_loss': 1.18, 'test_loss': 1.09, 'precision': 0.2, 'recall': 0.7, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[2, 5, 4], [3, 3]], 'best_f1': 0.32, 'best_auc': 0.83, 'time': 1.28}"
11,2,0,"{'epoch': 0, 'train_loss': 1.18, 'test_loss': 1.09, 'precision': 0.2, 'recall': 0.7, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[2, 5, 4], [3, 3]], 'best_f1': 0.32, 'best_auc': 0.83, 'time': 1.28}"
12,0,0,"{'epoch': 0, 'train_loss': 0.55, 'test_loss': 0.52, 'precision': 0.73, 'recall': 0.8, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [[4, 3, 3], [5, 5, 4, 2], [3, 3]], 'best_f1': 0.76, 'best_auc': 0.87, 'time': 1.89}"
12,1,0,"{'epoch': 0, 'train_loss': 0.55, 'test_loss': 0.52, 'precision': 0.73, 'recall': 0.8, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [[4, 3, 3], [5, 5, 4, 2], [3, 3]], 'best_f1': 0.76, 'best_auc': 0.87, 'time': 1.89}"
12,2,0,"{'epoch': 0, 'train_loss': 0.55, 'test_loss': 0.52, 'precision': 0.73, 'recall': 0.8, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [[4, 3, 3], [5, 5, 4, 2], [3, 3]], 'best_f1': 0.76, 'best_auc': 0.87, 'time': 1.89}"
13,0,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 0.45, 'precision': 0.61, 'recall': 0.87, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[2, 3, 5, 2]], 'best_f1': 0.72, 'best_auc': 0.96, 'time': 1.74}"
13,1,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 0.45, 'precision': 0.61, 'recall': 0.87, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[2, 3, 5, 2]], 'best_f1': 0.72, 'best_auc': 0.96, 'time': 1.74}"
13,2,0,"{'epoch': 0, 'train_loss': 0.64, 'test_loss': 0.45, 'precision': 0.61, 'recall': 0.87, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[2, 3, 5, 2]], 'best_f1': 0.72, 'best_auc': 0.96, 'time': 1.74}"
14,0,0,"{'epoch': 0, 'train_loss': 0.91, 'test_loss': 0.69, 'precision': 0.38, 'recall': 0.95, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [3, 2]], 'best_f1': 0.55, 'best_auc': 0.89, 'time': 1.46}"
14,1,0,"{'epoch': 0, 'train_loss': 0.91, 'test_loss': 0.69, 'precision': 0.38, 'recall': 0.95, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [3, 2]], 'best_f1': 0.55, 'best_auc': 0.89, 'time': 1.46}"
14,2,0,"{'epoch': 0, 'train_loss': 0.91, 'test_loss': 0.69, 'precision': 0.38, 'recall': 0.95, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [[2, 3, 4], [3, 2]], 'best_f1': 0.55, 'best_auc': 0.89, 'time': 1.46}"
15,0,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.75, 'precision': 0.45, 'recall': 0.86, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [[5, 5, 3, 5], [5, 2, 4]], 'best_f1': 0.59, 'best_auc': 0.85, 'time': 1.32}"
15,1,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.75, 'precision': 0.45, 'recall': 0.86, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [[5, 5, 3, 5], [5, 2, 4]], 'best_f1': 0.59, 'best_auc': 0.85, 'time': 1.32}"
15,2,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.75, 'precision': 0.45, 'recall': 0.86, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [[5, 5, 3, 5], [5, 2, 4]], 'best_f1': 0.59, 'best_auc': 0.85, 'time': 1.32}"
16,0,0,"{'epoch': 0, 'train_loss': 1.28, 'test_loss': 1.35, 'precision': 0.08, 'recall': 0.9, 'accuracy': 0.25, 'learning_rate': 0.0, 'branches': [[2, 3, 4, 5], [5, 2, 3, 5], [3, 2, 2]], 'best_f1': 0.15, 'best_auc': 0.53, 'time': 1.72}"
16,1,0,"{'epoch': 0, 'train_loss': 1.28, 'test_loss': 1.35, 'precision': 0.08, 'recall': 0.9, 'accuracy': 0.25, 'learning_rate': 0.0, 'branches': [[2, 3, 4, 5], [5, 2, 3, 5], [3, 2, 2]], 'best_f1': 0.15, 'best_auc': 0.53, 'time': 1.72}"
16,2,0,"{'epoch': 0, 'train_loss': 1.28, 'test_loss': 1.35, 'precision': 0.08, 'recall': 0.9, 'accuracy': 0.25, 'learning_rate': 0.0, 'branches': [[2, 3, 4, 5], [5, 2, 3, 5], [3, 2, 2]], 'best_f1': 0.15, 'best_auc': 0.53, 'time': 1.72}"
17,0,0,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.77, 'precision': 0.55, 'recall': 0.56, 'accuracy': 0.61, 'learning_rate': 0.0, 'branches': [[5, 4, 4], [5, 5, 2]], 'best_f1': 0.56, 'best_auc': 0.65, 'time': 1.14}"
17,1,0,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.77, 'precision': 0.55, 'recall': 0.56, 'accuracy': 0.61, 'learning_rate': 0.0, 'branches': [[5, 4, 4], [5, 5, 2]], 'best_f1': 0.56, 'best_auc': 0.65, 'time': 1.14}"
17,2,0,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.77, 'precision': 0.55, 'recall': 0.56, 'accuracy': 0.61, 'learning_rate': 0.0, 'branches': [[5, 4, 4], [5, 5, 2]], 'best_f1': 0.56, 'best_auc': 0.65, 'time': 1.14}"
18,0,0,"{'epoch': 0, 'train_loss': 1.19, 'test_loss': 1.15, 'precision': 0.14, 'recall': 0.66, 'accuracy': 0.44, 'learning_rate': 0.0, 'branches': [[4, 5, 5, 4], [4, 3, 3, 3], [4, 5]], 'best_f1': 0.23, 'best_auc': 0.58, 'time': 1.62}"
18,1,0,"{'epoch': 0, 'train_loss': 1.19, 'test_loss': 1.15, 'precision': 0.14, 'recall': 0.66, 'accuracy': 0.44, 'learning_rate': 0.0, 'branches': [[4, 5, 5, 4], [4, 3, 3, 3], [4, 5]], 'best_f1': 0.23, 'best_auc': 0.58, 'time': 1.62}"
18,2,0,"{'epoch': 0, 'train_loss': 1.19, 'test_loss': 1.15, 'precision': 0.14, 'recall': 0.66, 'accuracy': 0.44, 'learning_rate': 0.0, 'branches': [[4, 5, 5, 4], [4, 3, 3, 3], [4, 5]], 'best_f1': 0.23, 'best_auc': 0.58, 'time': 1.62}"
19,0,0,"{'epoch': 0, 'train_loss': 0.95, 'test_loss': 1.01, 'precision': 0.26, 'recall': 0.92, 'accuracy': 0.53, 'learning_rate': 0.0, 'branches': [[5, 2, 4, 2], [3, 2, 3], [2, 4, 5]], 'best_f1': 0.41, 'best_auc': 0.8, 'time': 1.72}"
19,1,0,"{'epoch': 0, 'train_loss': 0.95, 'test_loss': 1.01, 'precision': 0.26, 'recall': 0.92, 'accuracy': 0.53, 'learning_rate': 0.0, 'branches': [[5, 2, 4, 2], [3, 2, 3], [2, 4, 5]], 'best_f1': 0.41, 'best_auc': 0.8, 'time': 1.72}"
19,2,0,"{'epoch': 0, 'train_loss': 0.95, 'test_loss': 1.01, 'precision': 0.26, 'recall': 0.92, 'accuracy': 0.53, 'learning_rate': 0.0, 'branches': [[5, 2, 4, 2], [3, 2, 3], [2, 4, 5]], 'best_f1': 0.41, 'best_auc': 0.8, 'time': 1.72}"
20,0,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 1.0, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[4, 4, 3, 3], [2, 5, 3, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 4.6, 'train_loss_history': [0.4656608833831811], 'test_loss_history': [0.983170548016001]}"
20,1,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 1.0, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[4, 4, 3, 3], [2, 5, 3, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 4.6, 'train_loss_history': [0.4656608833831811], 'test_loss_history': [0.983170548016001]}"
20,2,0,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 1.0, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[4, 4, 3, 3], [2, 5, 3, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 4.6, 'train_loss_history': [0.4656608833831811], 'test_loss_history': [0.983170548016001]}"
20,0,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.7, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[2, 4, 4, 2]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.6, 'train_loss_history': [0.5754380800313379], 'test_loss_history': [0.7055634390802893]}"
20,1,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.7, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[2, 4, 4, 2]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.6, 'train_loss_history': [0.5754380800313379], 'test_loss_history': [0.7055634390802893]}"
20,2,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.7, 'precision': 0.8, 'recall': 0.6, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[2, 4, 4, 2]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.6, 'train_loss_history': [0.5754380800313379], 'test_loss_history': [0.7055634390802893]}"
20,0,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.9, 'precision': 0.3, 'recall': 1.0, 'accuracy': 0.6, 'lr': 0.0, 'branches': [[3, 3]], 'best_f1': 0.5, 'best_auc': 0.8, 'time': 0.9, 'train_loss_history': [0.7993446907034856], 'test_loss_history': [0.8830391525411282]}"
20,1,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.9, 'precision': 0.3, 'recall': 1.0, 'accuracy': 0.6, 'lr': 0.0, 'branches': [[3, 3]], 'best_f1': 0.5, 'best_auc': 0.8, 'time': 0.9, 'train_loss_history': [0.7993446907034856], 'test_loss_history': [0.8830391525411282]}"
20,2,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.9, 'precision': 0.3, 'recall': 1.0, 'accuracy': 0.6, 'lr': 0.0, 'branches': [[3, 3]], 'best_f1': 0.5, 'best_auc': 0.8, 'time': 0.9, 'train_loss_history': [0.7993446907034856], 'test_loss_history': [0.8830391525411282]}"
20,0,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.7, 'recall': 0.7, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[3, 5, 2, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.8, 'train_loss_history': [0.5593329296986705], 'test_loss_history': [0.6265201112803291]}"
20,1,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.7, 'recall': 0.7, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[3, 5, 2, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.8, 'train_loss_history': [0.5593329296986705], 'test_loss_history': [0.6265201112803291]}"
20,2,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.7, 'recall': 0.7, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[3, 5, 2, 3]], 'best_f1': 0.7, 'best_auc': 0.9, 'time': 1.8, 'train_loss_history': [0.5593329296986705], 'test_loss_history': [0.6265201112803291]}"
20,0,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.6, 'recall': 1.0, 'accuracy': 0.8, 'lr': 0.0, 'branches': [[4, 5, 5], [5, 3, 3], [4, 3]], 'best_f1': 0.7, 'best_auc': 1.0, 'time': 7.2, 'train_loss_history': [0.5718575845208335], 'test_loss_history': [0.5641949161453802]}"
20,1,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.6, 'recall': 1.0, 'accuracy': 0.8, 'lr': 0.0, 'branches': [[4, 5, 5], [5, 3, 3], [4, 3]], 'best_f1': 0.7, 'best_auc': 1.0, 'time': 7.2, 'train_loss_history': [0.5718575845208335], 'test_loss_history': [0.5641949161453802]}"
20,2,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.6, 'precision': 0.6, 'recall': 1.0, 'accuracy': 0.8, 'lr': 0.0, 'branches': [[4, 5, 5], [5, 3, 3], [4, 3]], 'best_f1': 0.7, 'best_auc': 1.0, 'time': 7.2, 'train_loss_history': [0.5718575845208335], 'test_loss_history': [0.5641949161453802]}"
20,0,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.2, 'precision': 0.8, 'recall': 1.0, 'accuracy': 0.9, 'lr': 0.0, 'branches': [[4, 4, 4, 3]], 'best_f1': 0.9, 'best_auc': 1.0, 'time': 21.1, 'train_loss_history': [0.5631435215809545], 'test_loss_history': [0.23436497646029264]}"
