experiment_id,generation,number_of_trained_individuals,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
0,0,1,0.68,0.0,0.68,0.68,0.68,0.68,0.0,0.68,0.68,0.68
0,1,0,0.68,0.0,0.68,0.68,0.68,0.68,0.0,0.68,0.68,0.68
0,2,0,0.68,0.0,0.68,0.68,0.68,0.68,0.0,0.68,0.68,0.68
1,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1,1,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2,0,1,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
2,1,0,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
2,2,0,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
3,0,1,0.34,0.0,0.34,0.34,0.34,0.34,0.0,0.34,0.34,0.34
3,1,0,0.34,0.0,0.34,0.34,0.34,0.34,0.0,0.34,0.34,0.34
3,2,0,0.34,0.0,0.34,0.34,0.34,0.34,0.0,0.34,0.34,0.34
4,0,1,0.88,0.0,0.88,0.88,0.88,0.88,0.0,0.88,0.88,0.88
4,1,0,0.88,0.0,0.88,0.88,0.88,0.88,0.0,0.88,0.88,0.88
4,2,0,0.88,0.0,0.88,0.88,0.88,0.88,0.0,0.88,0.88,0.88
5,0,1,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
5,1,0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
5,2,0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
6,0,1,1.08,0.0,1.08,1.08,1.08,1.08,0.0,1.08,1.08,1.08
6,1,0,1.08,0.0,1.08,1.08,1.08,1.08,0.0,1.08,1.08,1.08
6,2,0,1.08,0.0,1.08,1.08,1.08,1.08,0.0,1.08,1.08,1.08
7,0,1,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
7,1,0,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
7,2,0,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
8,0,1,0.47,0.0,0.47,0.47,0.47,0.47,0.0,0.47,0.47,0.47
8,1,0,0.47,0.0,0.47,0.47,0.47,0.47,0.0,0.47,0.47,0.47
8,2,0,0.47,0.0,0.47,0.47,0.47,0.47,0.0,0.47,0.47,0.47
9,0,1,0.87,0.0,0.87,0.87,0.87,0.87,0.0,0.87,0.87,0.87
9,1,0,0.87,0.0,0.87,0.87,0.87,0.87,0.0,0.87,0.87,0.87
9,2,0,0.87,0.0,0.87,0.87,0.87,0.87,0.0,0.87,0.87,0.87
10,0,1,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
10,1,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
10,2,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
11,0,1,1.18,0.0,1.18,1.18,1.18,1.18,0.0,1.18,1.18,1.18
11,1,0,1.18,0.0,1.18,1.18,1.18,1.18,0.0,1.18,1.18,1.18
11,2,0,1.18,0.0,1.18,1.18,1.18,1.18,0.0,1.18,1.18,1.18
12,0,1,0.55,0.0,0.55,0.55,0.55,0.55,0.0,0.55,0.55,0.55
12,1,0,0.55,0.0,0.55,0.55,0.55,0.55,0.0,0.55,0.55,0.55
12,2,0,0.55,0.0,0.55,0.55,0.55,0.55,0.0,0.55,0.55,0.55
13,0,1,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
13,1,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
13,2,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
14,0,1,0.91,0.0,0.91,0.91,0.91,0.91,0.0,0.91,0.91,0.91
14,1,0,0.91,0.0,0.91,0.91,0.91,0.91,0.0,0.91,0.91,0.91
14,2,0,0.91,0.0,0.91,0.91,0.91,0.91,0.0,0.91,0.91,0.91
15,0,1,0.81,0.0,0.81,0.81,0.81,0.81,0.0,0.81,0.81,0.81
15,1,0,0.81,0.0,0.81,0.81,0.81,0.81,0.0,0.81,0.81,0.81
15,2,0,0.81,0.0,0.81,0.81,0.81,0.81,0.0,0.81,0.81,0.81
16,0,1,1.28,0.0,1.28,1.28,1.28,1.28,0.0,1.28,1.28,1.28
16,1,0,1.28,0.0,1.28,1.28,1.28,1.28,0.0,1.28,1.28,1.28
16,2,0,1.28,0.0,1.28,1.28,1.28,1.28,0.0,1.28,1.28,1.28
17,0,1,0.79,0.0,0.79,0.79,0.79,0.79,0.0,0.79,0.79,0.79
17,1,0,0.79,0.0,0.79,0.79,0.79,0.79,0.0,0.79,0.79,0.79
17,2,0,0.79,0.0,0.79,0.79,0.79,0.79,0.0,0.79,0.79,0.79
18,0,1,1.19,0.0,1.19,1.19,1.19,1.19,0.0,1.19,1.19,1.19
18,1,0,1.19,0.0,1.19,1.19,1.19,1.19,0.0,1.19,1.19,1.19
18,2,0,1.19,0.0,1.19,1.19,1.19,1.19,0.0,1.19,1.19,1.19
19,0,1,0.95,0.0,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.95
19,1,0,0.95,0.0,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.95
19,2,0,0.95,0.0,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.95
